date,price,volume,demand_bid,supply_bid
2024-01-01,"[2813.275366022419, 2489.3751516216635, 2349.9438802395207, 2424.74216740765, 2447.5055394249684, 3052.5803974425567, 3631.130624383256, 8484.59454656554, 10000.0, 10000.000000000002, 9789.634494395255, 6480.953794174621, 4117.060084078699, 3289.7563403927206, 3493.0077278378, 3777.388412086908, 7064.715891798432, 10000.0, 10000.0, 6488.348325843729, 4231.983211570805, 3058.287339191897, 2960.665259258554, 3003.719115075321]","[23355.4, 23898.3, 24048.0, 23819.7, 23633.5, 26761.1, 33117.48, 37894.01, 31178.98, 30815.7, 33704.49, 35185.36, 31965.29, 32552.4, 33302.2, 37170.8, 34192.48, 28153.08, 34426.4, 34943.99, 29730.0, 25353.2, 21015.7, 20219.8]","[7595.474999999999, 7543.25, 7548.875, 7515.025, 7392.175, 8788.625, 11486.05, 16195.15, 20049.175, 20993.825, 16807.8, 14373.15, 12881.575, 10824.075, 11442.95, 13327.15, 14765.95, 15915.325, 16443.575, 13211.7, 10863.0, 8824.875, 7843.575, 7644.575]","[19603.175, 21870.65, 23410.975, 23645.075, 21275.1, 17751.075, 12762.425, 10019.975, 7920.75, 7829.925, 8559.425, 9543.75, 10374.675, 12322.7, 12774.7, 12867.475, 9475.625, 7170.275, 8738.6, 9930.3, 11293.725, 12691.625, 15090.225, 16654.625]"
2024-01-02,"[2988.281037460907, 2695.648949725652, 2492.4891610052327, 2636.4412241114123, 2711.9638629928195, 3100.371678950665, 4011.487103581912, 8680.030723551345, 10000.0, 10000.000000000002, 9542.528719999998, 7020.651833589272, 4230.242326196298, 3487.588610806682, 3703.965186288357, 4130.739145573591, 7701.82509052174, 10000.0, 10000.0, 10000.0, 5136.91493964541, 3388.3073192826328, 2984.7005514536227, 3100.385564120332]","[20656.2, 21800.78, 22553.18, 21520.1, 21546.17, 25860.2, 31970.35, 36458.09, 29310.19, 26793.2, 30387.5, 34174.72, 29870.480000000003, 30111.0, 31223.1, 39053.1, 32782.18, 24985.5, 27947.17, 29794.3, 27992.9, 24539.7, 21236.6, 20925.5]","[7755.799999999999, 7509.675, 7440.65, 7297.4, 7315.1, 8965.15, 11922.0, 16576.875, 20972.875, 21989.3, 17122.075, 14581.05, 12623.85, 10747.475, 11494.775, 14423.85, 16333.55, 19714.075, 20726.175, 15307.975, 11445.175, 9036.675, 7886.2, 8166.35]","[18334.775, 20554.65, 21636.5, 21345.85, 19563.675, 16114.525, 10782.65, 9310.45, 7327.55, 6698.3, 7634.7, 9091.65, 9753.325, 11706.975, 12298.575, 12276.65, 8524.25, 6313.375, 6986.8, 7448.575, 8796.45, 11453.575, 14154.225, 15925.6]"
2024-01-03,"[1999.5938025848145, 1999.3789238582096, 1999.1452364007887, 1999.0200331253463, 1999.042548827717, 2502.051920667359, 3729.609004649909, 7530.0391453566, 10000.0, 10000.0, 9890.479237781406, 4893.0979757442365, 3900.874518432792, 3221.085049548455, 3350.8001409647195, 3558.2968992093106, 6815.503427745585, 9999.999999999998, 10000.0, 9385.907374959206, 4743.49260990099, 3129.5965519082697, 2624.451449371127, 2406.1579011019244]","[18570.0, 17860.1, 17030.4, 16603.6, 16757.9, 20586.23, 31161.9, 35227.09, 28723.38, 27616.5, 31706.39, 33987.8, 31694.33, 30769.88, 33313.3, 36019.200000000004, 32161.08, 23533.69, 28186.88, 30061.59, 27270.0, 24532.7, 20718.02, 18503.09]","[5756.9, 5579.325, 5372.8, 5265.8, 5304.475, 6507.5, 9820.725, 14355.3, 18946.3, 20526.75, 14909.025, 12186.275, 10687.825, 9585.525, 10261.475, 11438.225, 13409.475, 19422.15, 18062.9, 13217.175, 9914.95, 7853.525, 6628.025, 6061.175]","[19804.15, 21937.35, 23632.3, 23799.05, 21455.575, 17669.5, 11576.675, 9078.65, 7213.95, 7031.725, 8108.0, 9848.375, 10356.375, 12224.2, 12537.725, 12431.825, 8773.0, 5906.525, 7069.825, 7599.475, 8344.425000000001, 11275.575, 14192.075, 16516.275]"
2024-01-04,"[2857.415262015937, 2460.830455218423, 2198.183076084609, 2000.085241825232, 2308.0721213838838, 3046.641270420765, 4036.416729262384, 8793.24307327159, 10000.0, 10000.0, 10000.0, 7129.617180402555, 4876.182607795247, 3636.942741775979, 3679.979661030192, 3980.8554869310474, 7183.633524128502, 10000.000000000002, 10000.000000000002, 10000.0, 5344.810163920271, 3860.666183702672, 3093.450465101416, 3073.801561622811]","[22095.03, 23329.46, 23522.76, 23743.18, 23923.11, 27744.43, 35993.41, 35273.29, 28796.98, 28257.76, 32562.48, 36919.1, 34404.81, 33672.7, 37115.4, 42183.18, 31230.7, 21585.4, 26394.7, 30428.48, 31271.3, 27611.03, 23157.1, 22700.36]","[7738.5, 7564.45, 7384.35, 7258.3, 7639.625, 9365.9, 13366.525, 18418.55, 23926.875, 25500.25, 19575.375, 16201.2, 14124.55, 11810.425, 13167.725, 15381.375, 15855.55, 21802.5, 21140.05, 16839.95, 12764.625, 10776.275, 8776.05, 8597.975]","[19097.925, 21474.325, 23151.15, 23762.175, 21588.975, 17911.65, 11887.75, 8880.625, 7199.25, 7096.200000000001, 8267.625, 9532.625, 9975.7, 12286.15, 13320.675, 12815.575, 8099.325, 5396.35, 6598.675, 7607.125, 9583.575, 12075.1, 14387.5, 16410.15]"
2024-01-05,"[2771.004756668135, 2370.677019892039, 1999.8650461647728, 1999.730638091298, 2252.264231969725, 3112.7564211874387, 4793.94990217149, 9127.248289413692, 10000.000000000002, 10000.000000000002, 10000.0, 7756.231239218252, 4292.767530943516, 3630.6407754340585, 3853.5754024383264, 5009.828951211206, 8378.397183913781, 10000.0, 10000.0, 10000.0, 5328.435193701528, 3706.1774984244194, 3165.9456389731467, 3063.182191427028]","[22933.7, 23527.0, 24217.6, 23689.4, 24733.4, 29586.21, 34231.33, 36320.880000000005, 30252.29, 28247.7, 33748.89, 36983.8, 33464.2, 33555.4, 36475.03, 44426.39, 35073.5, 28176.19, 26728.99, 30321.78, 31912.5, 26974.2, 24161.97, 22766.9]","[8079.075000000001, 8144.775, 7801.6, 7669.25, 8288.5, 10140.675, 14114.025, 21829.025, 30280.4, 29208.875, 21329.825, 17366.775, 14022.25, 11940.5, 13710.6, 17438.85, 19909.5, 26285.625, 22719.275, 17926.85, 13719.625, 10640.95, 9075.75, 8781.375]","[18439.8, 20922.125, 22534.1, 22779.725, 20727.65, 17061.175, 10723.125, 9123.625, 7563.075, 7061.925, 8437.225, 9534.75, 10443.725, 11389.325, 12300.95, 12238.425, 8888.975, 7044.05, 6682.25, 7580.45, 9397.7, 11439.8, 13415.7, 15268.25]"
2024-01-06,"[3070.9575768806194, 2688.3477528183566, 2424.9595891529693, 2078.7874587664905, 2325.7723032097983, 3125.7758764755395, 4755.259660611468, 10000.0, 10000.0, 9999.999999999998, 10000.0, 6092.002490086417, 3909.090951961051, 3491.509983411758, 3682.943196836059, 4607.611438947129, 8312.608122230844, 10000.0, 10000.0, 10000.000000000002, 5700.059987809876, 4055.169840059853, 3286.871331926643, 3134.27285458795]","[21912.87, 22788.1, 23326.2, 24173.3, 23939.2, 25541.5, 31834.9, 31403.58, 31648.16, 33136.880000000005, 33031.6, 35605.19, 33545.28, 33216.3, 36144.8, 38971.55, 27580.6, 23785.1, 28105.07, 34220.270000000004, 36144.01, 29004.6, 22274.5, 21135.8]","[7911.475, 7663.625, 7497.925, 7433.474999999999, 7713.6, 9043.075, 13595.5, 18329.0, 21666.75, 22688.95, 18119.65, 14957.675, 12794.0, 11147.725, 12813.45, 15046.525, 15630.975, 21098.225, 20267.225, 17529.15, 13848.1, 10804.025, 8829.175, 8517.15]","[16680.375, 19047.575, 20566.25, 20958.325, 19166.575, 15157.25, 9918.3, 7850.9, 7912.05, 8284.224999999999, 8257.9, 9643.175, 10509.725, 11623.5, 12134.9, 11342.3, 7002.675, 5946.275, 7026.275, 8618.575, 10370.175, 11707.65, 12906.15, 14033.5]"
2024-01-07,"[2635.534207782091, 2437.460092368906, 2041.506207078846, 2000.0208745823832, 2176.139615176932, 3093.025074908392, 4497.666324145968, 8506.617137067575, 10000.000000000002, 10000.0, 8462.757855952954, 4735.116148930962, 3982.223945461026, 3303.9806224505846, 3600.021569652275, 4514.885992645174, 5300.729054079022, 10000.0, 9097.27574507296, 7465.946189708406, 4834.937431681532, 3647.710075274703, 2839.012840873607, 3024.91318323587]","[22592.9, 22961.19, 23455.8, 23472.46, 23630.6, 26826.1, 28455.02, 38349.77, 38226.34, 35852.49, 34240.48, 31163.97, 28446.08, 28609.5, 31703.2, 33175.5, 29227.6, 30708.18, 34944.9, 37895.0, 35798.52, 27220.3, 21616.59, 20792.49]","[7510.65, 7373.85, 7248.425, 7133.375, 7322.7, 8655.075, 11710.9, 16119.0, 18267.975, 18395.1, 15277.375, 12563.65, 11273.125, 9925.5, 11251.225, 12949.025, 12684.275, 14429.925, 15131.55, 15663.075, 12987.225, 9883.6, 7793.15, 7838.875]","[17080.95, 19673.7, 21414.425, 21422.15, 19630.075, 15582.4, 9637.05, 10089.65, 9683.6, 9090.125, 9072.525, 9920.975, 10199.675, 11736.175, 11856.5, 10754.775, 8610.6, 7814.05, 9244.375, 10141.875, 11252.025, 12955.1, 13857.5, 14483.275]"
2024-01-08,"[3039.160247349824, 2772.974687227262, 2499.305257420575, 2475.047639607192, 2667.234129412575, 3133.177362678412, 4645.485580106136, 10000.0, 10000.0, 9999.999999999998, 10000.0, 7161.634299790826, 4644.72847879497, 3615.9458704710087, 3785.148289830261, 4818.837393887628, 7614.651132229818, 10000.0, 10000.0, 10000.0, 5618.15188674304, 3816.458120283533, 2990.720476649462, 3080.32846707553]","[22102.300000000003, 22835.59, 23374.2, 23311.12, 23223.4, 24360.7, 29132.6, 30503.09, 26216.5, 26936.09, 32771.39, 35219.69, 32175.15, 31392.2, 32664.36, 34654.3, 33506.89, 24175.86, 30388.47, 33206.6, 34442.21, 27510.0, 22399.27, 22436.2]","[7878.950000000001, 7708.25, 7533.15, 7489.725, 7648.675, 8347.375, 12307.925, 16841.85, 20286.7, 21482.45, 18125.075, 14845.475, 13115.75, 11878.15, 12343.475, 13937.0, 15620.7, 18966.075, 20274.575, 17777.45, 13328.325, 10321.85, 8338.75, 8236.775]","[17729.4, 20347.325, 21666.375, 21662.75, 19419.025, 14381.725, 9171.575, 7625.775, 6554.125, 6734.025, 8255.35, 9335.85, 9788.225, 11197.4, 11008.3, 9960.25, 8728.3, 6043.975, 7597.125, 8301.65, 10382.925, 11827.85, 12864.475, 14034.025]"
2024-01-09,"[2500.157599202108, 2322.9610048948502, 1999.990052219006, 1999.9374860891955, 2333.8537091578746, 2993.1286153288484, 4392.451090627647, 8518.79927148986, 10000.0, 10000.0, 9796.142387805648, 4554.876246553299, 3766.123073499428, 3424.8452229237087, 3501.7729383607657, 3790.555166217508, 5689.66041236023, 10000.0, 10000.0, 8901.480145572808, 4311.754995050584, 3538.4601092028674, 3054.87829361718, 3098.466284895659]","[24228.82, 25643.28, 26499.93, 26490.2, 25739.05, 24552.4, 31396.6, 33254.17, 29079.06, 29669.38, 33956.7, 33183.9, 32174.4, 32624.39, 33342.4, 34486.740000000005, 34038.2, 25903.68, 30555.98, 32445.62, 30306.6, 27023.1, 23858.89, 24884.9]","[7834.75, 7995.3, 7881.05, 7873.875, 8120.45, 8271.8, 12224.475, 15842.35, 18792.55, 19121.75, 16278.775, 13855.0, 12443.75, 11348.05, 11532.1, 12420.475, 13553.475, 15663.65, 16514.85, 14733.4, 11425.725, 10329.125, 8824.45, 8672.825]","[19461.0, 21595.125, 23002.25, 23043.7, 20985.325, 15209.1, 10193.8, 8547.55, 7280.875, 7428.45, 8576.125, 10153.0, 10972.5, 12342.15, 12275.65, 11493.9, 9558.85, 6487.025, 7650.1, 8380.65, 10625.9, 12588.35, 14274.55, 15900.65]"
2024-01-10,"[2997.721478123164, 2942.826066689436, 2559.61055167488, 2499.810332780125, 2817.0847658737853, 3154.2071711612093, 4633.681254170875, 10000.0, 10000.0, 10000.0, 10000.0, 5523.567936555996, 4404.6509297009, 3329.941287672388, 3508.3798049070733, 3598.713236188776, 7060.128134390136, 10000.0, 10000.0, 9055.920563044248, 4617.277352989756, 3934.8722850671, 3229.2677613512674, 3120.668791593898]","[27405.7, 27815.5, 29877.38, 30422.49, 29144.75, 29047.82, 38424.19, 37040.83, 31160.59, 29154.58, 35168.89, 37321.1, 36940.16, 34648.72, 34957.700000000004, 41882.6, 42026.15, 29019.39, 30769.38, 31720.42, 34207.31, 30139.29, 26008.77, 27707.49]","[9526.225, 8903.7, 8798.825, 8810.6, 9163.05, 10176.725, 14226.55, 18015.4, 21482.925000000003, 21833.075, 18825.85, 17168.625, 15352.075, 12621.525, 12592.1, 14111.7, 16137.15, 17231.775, 17065.925, 15684.2, 12931.4, 11003.7, 9525.825, 9967.475]","[20981.725, 23297.575, 24829.925, 25111.375, 22852.35, 16550.825, 11620.725, 9275.225, 7790.15, 7288.65, 8798.475, 10370.4, 11247.15, 13569.425, 14684.725, 14421.95, 11398.325, 7254.85, 7692.35, 7973.475, 10030.75, 11963.175, 14875.0, 17835.025]"
